 ACK Flag Count, Average Packet Size, Avg Bwd Segment Size, Avg Fwd Segment Size, Bwd IAT Max, Bwd IAT Mean, Bwd IAT Min, Bwd IAT Std, Bwd PSH Flags, Bwd Packet Length Mean, Bwd Packet Length Min, Bwd Packet Length Std, Bwd Packets/s, Down/Up Ratio, Flow Duration, Flow IAT Max, Flow IAT Mean, Flow IAT Min, Flow IAT Std, Flow Packets/s, Fwd IAT Max, Fwd IAT Mean, Fwd IAT Min, Fwd IAT Std, Fwd Packet Length Max, Fwd Packet Length Mean, Fwd Packet Length Min, Fwd Packet Length Std, Label, Max Packet Length, Min Packet Length, PSH Flag Count, Packet Length Mean, Packet Length Std, Packet Length Variance, Protocol, RST Flag Count, SYN Flag Count, Total Backward Packets, Total Fwd Packets, Total Length of Bwd Packets, URG Flag Count,Bwd IAT Total,Bwd Packet Length Max,FIN Flag Count,Flow Bytes/s,Fwd IAT Total,Fwd PSH Flags,Fwd Packets/s,Total Length of Fwd Packets
0,343.5,0.0,229.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,2000000.0,1.0,1.0,1.0,0.0,229.0,229.0,229.0,0.0,DrDoS_SNMP,229.0,229.0,0,229.0,0.0,0.0,17,0,0,0,2,0.0,0,0.0,0.0,0,458000000.0,1.0,0,2000000.0,458.0
0,960.0,0.0,640.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,48,48.0,48.0,48.0,0.0,41666.666666666664,48.0,48.0,48.0,0.0,640.0,640.0,640.0,0.0,DrDoS_NetBIOS,640.0,640.0,0,640.0,0.0,0.0,17,0,0,0,2,0.0,0,0.0,0.0,0,26666666.666666664,48.0,0,41666.66666666666,1280.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,2000000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TFTP,0.0,0.0,0,0.0,0.0,0.0,6,0,0,0,2,0.0,0,0.0,0.0,0,0.0,1.0,0,2000000.0,0.0
0,562.5,0.0,375.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3.0,3.0,3.0,0.0,666666.6666666666,3.0,3.0,3.0,0.0,375.0,375.0,375.0,0.0,UDPLag,375.0,375.0,0,375.0,0.0,0.0,17,0,0,0,2,0.0,0,0.0,0.0,0,250000000.0,3.0,0,666666.6666666665,750.0
0,343.5,0.0,229.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,2000000.0,1.0,1.0,1.0,0.0,229.0,229.0,229.0,0.0,NetBIOS,229.0,229.0,0,229.0,0.0,0.0,17,0,0,0,2,0.0,0,0.0,0.0,0,458000000.0,1.0,0,2000000.0,458.0
0,343.5,0.0,229.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,2000000.0,1.0,1.0,1.0,0.0,229.0,229.0,229.0,0.0,DrDoS_SNMP,229.0,229.0,0,229.0,0.0,0.0,17,0,0,0,2,0.0,0,0.0,0.0,0,458000000.0,1.0,0,2000000.0,458.0
0,432.0,0.0,349.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,108669,108667.0,36223.0,1.0,62738.34435175987,36.809025573070514,108667.0,36223.0,1.0,62738.34435175987,369.0,349.5,330.0,22.516660498395403,UDP-lag,369.0,330.0,0,345.6,21.36117974270148,456.3,17,0,0,0,4,0.0,0,0.0,0.0,0,12864.754437788146,108669.0,0,36.80902557307051,1398.0
0,343.5,0.0,229.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46,46.0,46.0,46.0,0.0,43478.260869565216,46.0,46.0,46.0,0.0,229.0,229.0,229.0,0.0,NetBIOS,229.0,229.0,0,229.0,0.0,0.0,17,0,0,0,2,0.0,0,0.0,0.0,0,9956521.739130436,46.0,0,43478.260869565216,458.0
0,2208.0,0.0,1472.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,2000000.0,1.0,1.0,1.0,0.0,1472.0,1472.0,1472.0,0.0,DrDoS_LDAP,1472.0,1472.0,0,1472.0,0.0,0.0,17,0,0,0,2,0.0,0,0.0,0.0,0,2944000000.0,1.0,0,2000000.0,2944.0
0,550.0,0.0,440.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,869,867.0,289.66666666666663,1.0,499.9853331182159,4602.991944764097,867.0,289.66666666666663,1.0,499.9853331182159,440.0,440.0,440.0,0.0,DrDoS_NTP,440.0,440.0,0,440.0,0.0,0.0,17,0,0,0,4,0.0,0,0.0,0.0,0,2025316.4556962023,869.0,0,4602.991944764097,1760.0
